id;Тема;Тип задачи;full_text;processed_text;target_encoded
1;Утерян пропуск Рымарь В.С.;Запрос на обслуживание;Утерян пропуск Рымарь В.С.;утерять пропуск рымарь;6
2;Доступ к ресурсу БФТ;Запрос на обслуживание;Доступ к ресурсу БФТ;доступ ресурс бфт;6
3;Гостевой пропуск для Ермачкова Виктория Игоревна;Заказ гостевого пропуска;Гостевой пропуск для Ермачкова Виктория Игоревна;гостевой пропуск ермачкова виктория игоревич;5
4;ДИТ. Создание УЗ - Курочкина Лариса Викторовна;Подзадача;ДИТ. Создание УЗ - Курочкина Лариса Викторовна;дит создание курочкин лариса викторович;12
5;Оборудование - Курочкина Лариса Викторовна 9/17/25 ;Подзадача;Оборудование - Курочкина Лариса Викторовна 9/17/25 ;оборудование курочкин лариса викторович;12
6;Календарь - Курочкина Лариса Викторовна;HR: Приём;Календарь - Курочкина Лариса Викторовна;календарь курочкин лариса викторович;1
7;Бухгалтерия. Сформировать акт приема-передачи для Курочкина Лариса Викторовна , 9/17/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Курочкина Лариса Викторовна , 9/17/25;бухгалтерия сформировать акт приём передача курочкин лариса викторович;12
8;АХО. Уведомление о выходе сотрудника Курочкина Лариса Викторовна , 9/17/25;Подзадача;АХО. Уведомление о выходе сотрудника Курочкина Лариса Викторовна , 9/17/25;ахо уведомление выход сотрудник курочкин лариса викторович;12
9;Гостевой пропуск для Бедердинова Мария Владимировна;Заказ гостевого пропуска;Гостевой пропуск для Бедердинова Мария Владимировна;гостевой пропуск бедердинов мария владимирович;5
10;Гостевой пропуск для Астахова Алина Сергеевна;Заказ гостевого пропуска;Гостевой пропуск для Астахова Алина Сергеевна;гостевой пропуск астахов алина сергеевич;5
11;Работа из другой страны - Тайланд;Запрос на обслуживание;Работа из другой страны - Тайланд;работа страна таиланд;6
12;Выдача ноутбука;Запрос на обслуживание;Выдача ноутбука;выдача ноутбук;6
13;Доступ в PhonerLite;Запрос на обслуживание;Доступ в PhonerLite;доступ phonerlite;6
14;[Выход] 17.09.2025 Курочкина Лариса Викторовна (Пермь);Заявка на выход сотрудника;[Выход] 17.09.2025 Курочкина Лариса Викторовна (Пермь);выход курочкин лариса викторович пермь;8
15;Доступ в BFT Team;Запрос на обслуживание;Доступ в BFT Team;доступ bft team;6
16;Проблема со звуком;Запрос на обслуживание;Проблема со звуком;проблема звук;6
17;Сменить номер мобильного телефона;Запрос на обслуживание;Сменить номер мобильного телефона;сменить номер мобильный телефон;6
18;Недоступны корпоративные ресурсы после отпуска;Запрос на обслуживание;Недоступны корпоративные ресурсы после отпуска;недоступный корпоративный ресурс отпуск;6
19;Доступ к почтовым ящикам СПБ отделения.;Запрос на обслуживание;Доступ к почтовым ящикам СПБ отделения.;доступ почтовый ящик спб отделение;6
20;запрос на подготовку картиржей для сдачи проекта;Запрос на обслуживание;запрос на подготовку картиржей для сдачи проекта;запрос подготовка картиржа сдача проект;6
21;Доступ к Jira;Запрос на обслуживание;Доступ к Jira;доступ jira;6
22;Гостевой пропуск для Горбачева Дарья Владимировна;Заказ гостевого пропуска;Гостевой пропуск для Горбачева Дарья Владимировна;гостевой пропуск горбачёв дарья владимирович;5
23;вход контур диадок;Запрос на обслуживание;вход контур диадок;вход контур диадок;6
24;Re: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;Re: Плановые технические работы с серверами: Информация и необходимые действия;плановый технический работа сервер информация необходимый действие;6
25;Права;Запрос на обслуживание;Права;право;6
26;ДОК. Выполнить клон ВМ;Запрос на обслуживание;ДОК. Выполнить клон ВМ;док выполнить клон;6
27;https://task.bftcom.com/secure/TeamList.jspa нужны права на изменение броней по всем проектам;Запрос на обслуживание;https://task.bftcom.com/secure/TeamList.jspa нужны права на изменение броней по всем проектам;нужный право изменение бронь весь проект;6
28;https://jira.bftcom.com/ проект RRPM  cкорректировать бизнес процесс;Запрос на обслуживание;https://jira.bftcom.com/ проект RRPM  cкорректировать бизнес процесс;проект rrpm cкорректировать бизнес процесс;6
29;Уведомление о балансе;Запрос на обслуживание;Уведомление о балансе;уведомление баланс;6
30;Гостевой пропуск для Коваленко Владимир Алексеевич;Заказ гостевого пропуска;Гостевой пропуск для Коваленко Владимир Алексеевич;гостевой пропуск коваленко владимир алексеевич;5
31;1с: предприятие;Запрос на обслуживание;1с: предприятие;предприятие;6
32;Установка ViPNet PKI Client;Запрос на обслуживание;Установка ViPNet PKI Client;установка vipnet pki client;6
33;Командировка ПУ № Л00000989 для Колотушкин Станислав Андреевич;Заявка на билет и проживание;Командировка ПУ № Л00000989 для Колотушкин Станислав Андреевич;командировка колотушкин станислав андреевич;7
34;ДИТ. Создание УЗ - Пестерев Максим Евгеньевич;Подзадача;ДИТ. Создание УЗ - Пестерев Максим Евгеньевич;дит создание пестереть максим евгениевич;12
35;Оборудование - Пестерев Максим Евгеньевич 9/15/25 ;Подзадача;Оборудование - Пестерев Максим Евгеньевич 9/15/25 ;оборудование пестереть максим евгениевич;12
36;Календарь - Пестерев Максим Евгеньевич;HR: Приём;Календарь - Пестерев Максим Евгеньевич;календарь пестереть максим евгениевич;1
37;Бухгалтерия. Сформировать акт приема-передачи для Пестерев Максим Евгеньевич , 9/15/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Пестерев Максим Евгеньевич , 9/15/25;бухгалтерия сформировать акт приём передача пестереть максим евгениевич;12
38;АХО. Уведомление о выходе сотрудника Пестерев Максим Евгеньевич , 9/15/25;Подзадача;АХО. Уведомление о выходе сотрудника Пестерев Максим Евгеньевич , 9/15/25;ахо уведомление выход сотрудник пестереть максим евгениевич;12
39;ДТиОР. Доступ СЭД - Пестерев Максим Евгеньевич;Подзадача;ДТиОР. Доступ СЭД - Пестерев Максим Евгеньевич;дтиор доступ сэд пестереть максим евгениевич;12
40;Другие доступы - Пестерев Максим Евгеньевич;Подзадача;Другие доступы - Пестерев Максим Евгеньевич;другой доступ пестереть максим евгениевич;12
41;Запрос доп поля с выпадающим списком проект support jira.bftcom.com;Запрос на обслуживание;Запрос доп поля с выпадающим списком проект support jira.bftcom.com;запрос доп поле выпадать список проект support jira bftcom com;6
42;ДИТ. Добавить в группу рассылки;Подзадача;ДИТ. Добавить в группу рассылки;дит добавить группа рассылка;12
43;[Выход] 15.09.2025 Пестерев Максим Евгеньевич (Санкт-Петербург);Заявка на выход сотрудника;[Выход] 15.09.2025 Пестерев Максим Евгеньевич (Санкт-Петербург);выход пестереть максим евгениевич санкт петербург;8
44;ДИТ. Добавить в группу рассылки;Подзадача;ДИТ. Добавить в группу рассылки;дит добавить группа рассылка;12
45;[Выход] 15.09.2025 Пестерев Максим Евгеньевич (Санкт-Петербург);Заявка на выход сотрудника;[Выход] 15.09.2025 Пестерев Максим Евгеньевич (Санкт-Петербург);выход пестереть максим евгениевич санкт петербург;8
46;ДТиОР. АСУО. Логин и пароль;Запрос на обслуживание;ДТиОР. АСУО. Логин и пароль;дтиор асуо логин пароль;6
47;Сломалась дверь на первом этаже;Запрос на обслуживание;Сломалась дверь на первом этаже;сломаться дверь первый этаж;6
48;Корпоративная техника;Запрос на обслуживание;Корпоративная техника;корпоративный техника;6
49;Проблемы подключения к cisco;Запрос на обслуживание;Проблемы подключения к cisco;проблема подключение cisco;6
50;Обновление chrome;Запрос на обслуживание;Обновление chrome;обновление chrome;6
51;Доступ в JIRA SD для Городова Л.С.;Запрос на обслуживание;Доступ в JIRA SD для Городова Л.С.;доступ jira городов;6
52;Доступ к структурам в Jira ;Запрос на обслуживание;Доступ к структурам в Jira ;доступ структура jira;6
53;1С ПУ,  добавить права;Запрос на обслуживание;1С ПУ,  добавить права;добавить право;6
